lng,lat
-70.6925212989899,-33.455698266666666
-70.6925212989899,-33.4529476
-70.6888071070707,-33.45844893333334
-70.6888071070707,-33.455698266666666
-70.6888071070707,-33.4529476
-70.6888071070707,-33.45019693333333
-70.68509291515151,-33.45844893333334
-70.68509291515151,-33.455698266666666
-70.68509291515151,-33.4529476
-70.68509291515151,-33.45019693333333
-70.68509291515151,-33.44744626666667
-70.68137872323231,-33.45844893333334
-70.68137872323231,-33.455698266666666
-70.68137872323231,-33.4529476
-70.68137872323231,-33.45019693333333
-70.68137872323231,-33.44744626666667
-70.67766453131313,-33.455698266666666
-70.67766453131313,-33.4529476
-70.67766453131313,-33.45019693333333
-70.63680842020202,-33.43919426666667
-70.63680842020202,-33.4364436
-70.63680842020202,-33.43369293333333
-70.63309422828283,-33.43919426666667
-70.63309422828283,-33.4364436
-70.63309422828283,-33.43369293333333
-70.62938003636361,-33.43919426666667
-70.62938003636361,-33.4364436
-70.62938003636361,-33.43369293333333
-70.61823746060605,-33.428191600000005
-70.61823746060605,-33.42544093333333
-70.61452326868688,-33.428191600000005
-70.61452326868688,-33.42544093333333
-70.60709488484848,-33.42269026666666
-70.60709488484848,-33.4199396
-70.60338069292929,-33.42269026666666
-70.60338069292929,-33.4199396
-70.60338069292929,-33.41718893333333
-70.58480973333333,-33.414438266666664
-70.58480973333333,-33.4116876
-70.58109554141414,-33.414438266666664
-70.58109554141414,-33.4116876
-70.56995296565657,-33.4116876
-70.56995296565657,-33.40893693333334
-70.56623877373737,-33.4116876
-70.56623877373737,-33.40893693333334
